Word,Category,WordClass,OfficialWord,TranslationEng,SearchTermsEng,TranslationEpo,TranslationSpa,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,TranslationFra,TranslationRus,TranslationZho
produti,root,n/f.oj,TRUE,"product; produce, generate",,produkto; produkti,"producto; producir, generar",,,,,,"Englisa (product, productivity), Fransesa (produit), Doycisa (Produkt), Rusisa (продукт “produkt”), Espanisa (producto), Indonesisa (produk, produktivitas), Pilipinasa (produkto)",,,
produtidom,derived,n,FALSE,"warehouse, depot",,,"almacén, bodega, depósito",,,,,,produti + -dom,,,
profesi,root,n,TRUE,"profession, career",,profesio,"profesión, carrera",,,,,,"Englisa (profession), Fransesa, Doycisa, Rusisa, Espanisa, Indonesisa, Pilipinasa",,,
profesili,derived,t,FALSE,professional,,profesia; profesie,profesional,,,,,,profesi + -li,,,
programa,root,n/f.oj,TRUE,program,,programo; programi,programa; programar,,,,,,"Englisa (program), Doycisa (Programm), Fransesa (programme), Espanisa (programa), Rusisa (программа “programma”), Turkisa (program), Indonesisa (program, programa), Pilipinasa (programa), Hindisa (प्रोग्राम “program”), Niponsa (プログラム “puroguramu”), Hangusa (프로그램 “purogurem”), Swahilisa (programu)",,,
projeto,root,n,TRUE,project,,projekto,proyecto,,,,,,"Englisa (project), Fransesa, Doycisa, Rusisa, Espanisa, Turkisa, Indonesisa, Pilipinasa",,,
prokrastina,root,n/f.nenoj,TRUE,procrastination; procrastinate,,prokrastado; prokrasti,"procrastinación; procrastinar, aplazar",,,,,,"Englisa (procrastination, procrastinate), Espanisa (procrastinación, procrastinar), Fransesa (procrastination), Rusisa (прокрастинация ""prokrastinatsiya""), Doycisa (Prokrastination), Indonesisa (prokrastinasi), Turkisa (prokrastrinasyon)",,,
proli,derived,t,FALSE,favoring,,favora; favore,favorable,,,,,,pro + -li,,,
prometyum,root,n,TRUE,promethium,,prometio,"prometio, Pm",,,,,kimikali monlari,"Englisa (promethium), Espanisa (promecio), Arabisa (بْرُومِيثْيُوم “brumityum”), Fransesa (prométhium, prométhéum), Rusisa (прометий “prometiy”), Indonesisa (prometium), Doycisa (Promethium), Niponsa (プロメチウム “puromeciumu”), Telugusa (ప్రోమిథియం “promitiyam”), Turkisa (prometyum), Hangusa (프로메튬 “purometyum”), Vyetnamsa (prometi), Parsisa (پرومتیم “prometyom”), Swahilisa (promethi), Pilipinasa (prometyo, promethium)",,,
propaganda,root,n/f.oro.a,TRUE,propaganda,,propagando,propaganda,,,,,politi,"Englisa (propaganda), Espanisa (propaganda), Fransesa (propagande), Rusisa (пропаганда “propaganda”), Doycisa (Propoganda), Indonesisa (propaganda), Pilipinasa (propaganda), Arabisa (بْرُوبَاغَنْدَا “brubaganda”), Turkisa (propaganda), Parsisa (پروپاگاند “propâgând”), Swahilisa (propaganda)",,,
propul,derived,t,FALSE,favorable,,favora; favore,favorable,,,,,,pro + -pul,,,
prostesi,root,n,TRUE,"prosthesis, prosthetic device, prosthetic limb",,protezo,"prótesis, miembro prostético",,,,,medis,"Englisa (prosthesis), Espanisa (prótesis), Fransesa (prothèse), Rusisa (протез ""protez""), Doycisa (Prothese, Prosthese), Portugalsa (prótese), Italisa (protesi), Indonesisa (prostesis), Pilipinasa (prostesis), Turkisa (protez), Parsisa (پروتز ""porotez"")",,,
protatinyum,root,n,TRUE,protactinium,,protaktinio,"protactinio, Pa",,,,,kimikali monlari,"Englisa (protactinium), Espanisa (protactinio), Arabisa (بْرُوتَكْتِنْيُوم “brutaktinyum”), Fransesa (protactinium), Rusisa (протактиний “protaktiniy”), Indonesisa (protaktinium), Doycisa (Protactinium), Niponsa (プロトアクチニウム “purotoakuciniumu”), Telugusa (ప్రొటాక్టీనియం “protaktiniyam”), Turkisa (protaktinyum), Hangusa (프로트악티늄 “purotuaktinyum”), Vyetnamsa (protactini), Parsisa (پروتاکتینیم “protaktiniyom”), Swahilisa (protaktini), Pilipinasa (protaktinyo)",,,
protein,root,n,TRUE,protein,,proteino,proteína,,,,,,"Englisa (protein), Indonesisa, Doycisa, Turkisa, Vyetnamese, Arabisa (بروتين “brutin”), Espanisa (proteína), Fransesa (protéine), Hindisa (प्रोटीन “protin”), Niponsa (プロテイン “purotein”), Parsisa (پروتئین‎ “porotein”), Swahilisa (protini), Pilipinasa (protina)",,,
protesta,root,n/f.oro.a,TRUE,protest,,protesto; protesti,protesta; protestar,,,,,,"Englisa (protest), Fransesa (protestation), Doycisa (Protest), Rusisa (протест “protest”), Espanisa (protesta), Indonesisa (protes), Turkisa (protesto)",,,
protokol,root,n,TRUE,protocol (_computing_),,protokolo,protocolo,,,,,,"Englisa (protocol), Espanisa (protocolo), Fransesa (protocole), Rusisa (протоко́л ""protokol""), Doycisa (Protokoll), Indonesisa (protokol), Pilipinasa (protokol), Hindisa (प्रोटोकॉल ""proṭokŏl""), Arabisa (بْرُوتُوكُول ""brotokōl""), Niponsa (プロトコル ""purotokoru""), Telugusa (ప్రోటోకాల్ ""protokal""), Turkisa (protokol), Hangusa (프로토콜 ""purotokol""), Parsisa (پروتکل ""porôtokol"")",,,
proton,root,n,TRUE,proton,,protono,protón,,,,,,"Englisa (proton), Fransesa, Doycisa, Indonesisa, Vyetnamsa, Rusisa (протон “proton”), Hindisa (प्रोटॉन “proton”), Arabisa (بْرُوتُون‎ “brutun”), Telugusa (ప్రోటాన్ “protan”), Parsisa (پروتون‎ “prutun”), Swahilisa (protoni)",,,
provoka,root,n/f.oj,TRUE,provoke,,provoko; provoki,provocación; provocar,,,,,,"Englisa (provocation, provoke), Espanisa (provocación, provocar), Fransesa (provocation), Rusisa (провокация “provokatsiya”), Indonesisa (provokasi), Doycisa (Provokation), Turkisa (provokasyon), Parsisa (پرووکاسیون “provokâsion”), Pilipinasa (probokasyon)",,,
proya,derived,n/f.oj,FALSE,"be for, be in favor (of)",,favoro; favori,estar a favor de,,,,,,pro + -ya,,,
proyeksi,root,n/f.oj,TRUE,projection; project,,projekcio; projekcii,proyección; proyectar,,,,,,"Englisa (projection), Espanisa (proyección), Fransesa (projection), Rusisa (проекция ""proyektsiya""), Doycisa (Projektion), Portugalsa (projeção), Italisa (proiezione, proiettàre), Indonesisa (proyeksi), Pilipinasa (proyeksiyon), Turkisa (projeksiyon), Niponsa (プロジェクター ""purojekuta""), Telugusa (ప్రొజెక్టర్ ""projektar""), Hangusa (프로젝터 ""peurojekto"")",,,
prumu,root,n,TRUE,plum,,pruno,"ciruela, _Prunus_",,,,,"fruta, yamxey","Englisa (plum), Italisa (prugna), Rumanisa (prună), Indonesisa (prem), Swahilisa (plamu)",,,
prute,root,n/f.oro.a,TRUE,fart,,furzo; furzi,pedo; tirarse un pedo,,,,,,"kwasilexi - Fransesa (prout), Indonesisa, Espanisa, Turkisa, Swerisa, Pilipinasa, Polskasa",,,
pudin,root,n,TRUE,pudding,,pudingo,"pudín, budín",,,,,yamxey,"Englisa (pudding), Fransesa, Doycisa, Espanisa (pudin), Indonesisa (puding), Pilipinasa, Turkisa, Rusisa (пудинг “puding”), Putunhwa (布丁 “buding”), Hindisa (पुडिंग “puding”), Arabisa (بُودِنْغ “buding”), Niponsa (プリン “purin”, プディング “pudingu”), Telugusa (పుడ్డింగ్ “puding”), Hangusa (푸딩 “puding”), Parsisa (پودینگ “puding”)",,,
pudra,root,n/f.oro.b,TRUE,powder; pulverize,,pulvoro; pulvorigi,"polvo; pulverizar, pulverizarse",,,,,,"Englisa (powder), Fransesa (poudre), Rusisa (пудра “pudra”), Doycisa (Puder), Telugusa (పొడి “podi”), Turkisa (pudra), Vyetnamsa (bột), Parsisa (پودر “pudr”), Swahilisa (poda)",,,
pul,root,t,TRUE,full,,plena; plene,lleno,,,,,,"Englisa (full), Doycisa (voll), Hindisa (पूर्ण “purn”), Rusisa (полный “poln-”)",,,
pulgi,derived,n/f.oj,FALSE,fill (up),,plenigo; plenigi,llenar,,,,,,pul + -gi,,,
pupa,root,n,TRUE,"pupa, pupe, chrysalis, tumbler",,"pupo, krizalido","pupa, crisálida, capullo",,,,,,"Englisa (pupa), Espanisa (pupa), Fransesa (pupe), Doycisa (Puppe), Portugalsa (pupa), Italisa (pupa), Indonesisa (pupa), Hindisa (प्यूपा ""pyupa""), Karnatakasa (ಪ್ಯೂಪಾ ""pyupa""), Turkisa (pupa)",,,
pupe,root,n,TRUE,doll ,,pupo,muñeca,,,,,yuxitul,"Englisa (puppet), Doycisa (Puppe), Fransesa (poupée), Vyetnamsa (búp bê)",,,
purpuro,root,t,TRUE,purple,,purpura; purpure,morado,,,,,kolor,"Englisa (purple), Fransesa (pourpre), Doycisa (Purpur), Rusisa (пурпур “purpur”), Espanisa (púrpura), Niponsa (パープル “papuru”)",,,
puto,root,n,TRUE,grape,,vinbero,"uva, _Vitis_",,,,,"fruta, yamxey","Putunhwa (葡萄 “pútáo”), Niponsa (葡萄 “budō”), Hangusa (포도 “podo”)",,,
putojusu,derived,n,FALSE,grape juice,,vinbersuko,jugo de uva,,,,,,puto + jusu,,,
Putunhwa,proper noun,n,TRUE,Mandarin (language),,"ĉina normlingvo, la mandarena (lingvo)",chino mandarín,,,,,,Putunhwa (普通话 “pǔtōnghuà”),,,
puzle,root,n,TRUE,puzzle (game),,puzlo,"acertijo, adivinanza, rompecabezas",,,,,,"Englisa (puzzle), Espanisa (puzle), Fransesa (puzzle), Rusisa (пазл ""pazl""), Doycisa (Puzzle), Arabisa (بَازْل ""bazl""), Niponsa (パズル ""pazuru""), Telugusa (పజిల్ ""pajil""), Turkisa (puzzle, pazıl), Hangusa (퍼즐 ""pojul""), Parsisa (پازل ""pâzel"")",,,
pyale,root,n,TRUE,bowl,,bovlo,"bol, tazón, cuenco",,,,,,"Rusisa (пиала “piala”), Hindisa (प्याला “pyala”), Turkisa (piyale), Parsisa (پیاله “piyâle”)",,,
pyano,root,n,TRUE,piano,,piano,piano,,,,,,"Italisa (piano), Englisa (piano), Fransesa, Doycisa, Rusisa, Espanisa, Arabisa, Hindisa, Telugusa, Parsisa, Turkisa, Indonesisa, Pilipinasa, Swahilisa, Vyetnamsa, Niponsa, Hangusa",,,
pyanoyen,derived,n,FALSE,"pianist, piano player",,pianisto,pianista,,,,,,pyano + -yen,,,
pyara,root,n,TRUE,pear,,piro,"pera, _Pyrus_",,,,,"fruta, yamxey","Englisa (pear), Fransesa (poire), Doycisa (Birne), Espanisa (pera), Indonesisa (pir), Pilipinasa (peras), Telugusa (పియర్ “piyar”), Swahilisa (peasi)",,,
pyon,root,n,TRUE,"pawn, peon",,peono,peón,,,,,,"Espanisa (peón), Fransesa (pion), Indonesisa (pion), Pilipinasa (piyon), Turkisa (piyon), Englisa (peon, pawn), Niponsa (ポーン ""pon""), Hangusa (폰 ""pon"")",,,
radar,root,n,TRUE,radar,,radaro,radar,,,,,,"Englisa (radar), Espanisa (radar), Fransesa (radar), Rusisa (радар ""radar""), Doycisa (Radar), Indonesisa (radar), Pilipinasa (radar), Putunhwa (雷达 ""leyda""), Hindisa (रडार ""radar""), Arabisa (رَادَار ""radar""), Niponsa (レーダー ""reda""), Telugusa (రాడార్ ""radar""), Turkisa (radar), Vyetnamsa (ra-đa), Hangusa (레이다 ""reyda""), Parsisa (رادار ""radar""), Swahilisa (rada)",,,
radon,root,n,TRUE,radon,,radono,"radón, Rn",,,,,kimikali monlari,"Englisa (radon), Espanisa (radón), Arabisa (رَادُون “radun”), Fransesa (radon), Rusisa (радон “radon”), Indonesisa (radon), Doycisa (Radon), Niponsa (ラドン “radon”), Telugusa (రేడాన్ “redan”), Turkisa (radon), Hangusa (라돈 “radon”), Vyetnamsa (radon), Parsisa (رادون “radon”), Swahilisa (radoni), Pilipinasa (radon)",,,
radya,root,n/f.oj,TRUE,ray; radiate,,radio (_fiziko_); radii,rayo; radiar,,,,,,"Englisa (radiation), Fransesa (radiation), Espanisa (radiación), Rusisa (радиация ""radiatsiya""), Pilipinasa (radiyasyon), Indonesisa (radiasi), Turkisa (radyasyon), Vyetnamsa (tia)",,,
radyagrafi,derived,n,FALSE,x-ray image,,radiografaĵo,radiografía ,,,,,,radya + -grafi,,,
radyan,root,n,TRUE,radian,,radiano,"radián, rad",Radiant,,,,,"Englisa (radian), Espanisa (radián), Fransesa (radian), Rusisa (радиан “radian”), Doycisa (Radiant), Indonesisa (radian), Pilipinasa (radyan), Hindisa (रेडियन “rediyan”), Arabisa (راديان “radian”), Niponsa (ラジアン “rajian”), Telugusa (రేడియన్ “rediyan”), Turkisa (radyan), Hangusa (라디안 “radian”), Vyetnamsa (radian), Parsisa (رادیان “radiyan”)",radian,радиан,弧度
radyo,root,n,TRUE,radio,,radio (_komunikilo_),radio (_medio_),,,,,,"Englisa (radio), Fransesa (radio), Doycisa (Radio), Rusisa (радио “radio”), Espanisa (radio), Arabisa (راديو “radyu”), Swahilisa (redio), Hindisa (रेडियो “rediyo”), Telugusa (రేడియో “rediyo”), Parsisa (رادیو “râdiyo”), Turkisa (radyo), Indonesisa (radio), Pilipinasa (radyo), Niponsa (ラジオ “rajio”), Hangusa (라디오 “radio”)",,,
radyofon,derived,n,FALSE,radio (transmitter),,"radiosendilo, radio",radio (_dispositivo_),,,,,,radyo + -fon,,,
radyum,root,n,TRUE,radium,,radiumo,"radio (_elemento_), Ra",,,,,kimikali monlari,"Englisa (radium), Hindisa (रेडियम “rediyam”), Espanisa (radio), Arabisa (رَادِيُوم “radiyum”), Fransesa (radium), Rusisa (радий “radiy”), Indonesisa (radium), Doycisa (Radium), Niponsa (ラジウム “rajiumu”, ラディウム “radiumu”), Telugusa (రేడియం “rediyam”), Turkisa (radyum), Hangusa (라듐 “radyum”), Vyetnamsa (radi), Parsisa (رادیوم “radiyom”), Swahilisa (radi), Pilipinasa (radyo)",,,
radyus,root,n,TRUE,radius,,radio (_geometrio_),radio (_geometría_),,,,,,"Englisa (radius), Doycisa (Radius), Espanisa (radio), Rusisa (радиус “radius”), Indonesisa (radius), Pilipinasa (radyos, radyus), Swahilisa (rediasi)",,,
rafu,root,n,TRUE,shelf,,breto,estante,,,,,,"Arabisa (رَفّ “raff”), Turkisa (raf), Parsisa (رف “raf”), Swahilisa (rafu)",,,
rahatu,root,n/f.oro.b,TRUE,"rest, break; rest, take a break",,"paŭzo; paŭzi, ripozi",descanso; descansar,,,,,,"Arabisa (رَاحَة “raha”), Parsisa (راحت‎ “rahat”), Turkisa (rahat), Indonesisa (rehat)",,,
rahatugi,derived,n/f.oj,FALSE,"(cause to) rest, (make) rest",,paŭzigo; paŭzigi,poner a descansar,,,,,,rahatu + -gi,,,
rahema,root,n,TRUE,mercy,,"mizerikordo, korfavoro, kompato",misericordia,,,,,,"Arabisa (رَحْمَة “rahma”), Indonesisa (rahmat), Turkisa (merhamet), Parsisa (رحم “rahm”), Swahilisa (rehema), Hindisa (रहम “raham”)",,,
rahibu,root,n,TRUE,"monk, nun, brother, sister, cloisterer",,"monaĥo, monaĥino",monje,,,,,dini,"Arabisa (رَاهِب “rahib”, رَاهِبَة “rahiba”), Indonesisa (rahib), Turkisa (rahip, rahibe), Parsisa (راهب “raheb”, راهبه “rahebe”)",,,
rahibudom,derived,n,FALSE,"monastery, abbey, convent, cloister",,"monaĥejo, abatejo, monaĥinejo, konvento, klostro, klaŭstro","monasterio, abadía, convento, claustro",,,,,,rahibu + -dom,,,
rahim,root,n,TRUE,"uterus, womb",,utero,"matriz, útero",,,,,,"Arabisa (رَحِم “rahim”), Indonesisa (rahim), Turkisa (rahim), Parsisa (رحم “rahem”)",,,
rakun,root,n,TRUE,"raccoon, _Procyon_",,"lavurso, prociono","mapache, _Procyon_",,,,,hewan,"Englisa (raccoon), Indonesisa (rakun), Niponsa (ラクーン “rakun”), Hindisa (रकून “rakun”), Telugusa (రక్కూన్ “rakkun”), Arabisa (راكون “rakun”), Swahilisa (rakuni), Parsisa (راکون “rakon”), Turkisa (rakun)",,,
ramadu,root,n,TRUE,"ash, ashes",,cindro,ceniza,,,,,,Arabisa (رماد “ramad”),,,
rande,root,n/f.oj,TRUE,"plane, grater; plane, grate",,"rabotilo, raspilo; raboti, raspi","cepillo de carpintero, garlopa, rallador; cepillar, dolar, rallar",,,,,,"Hindi (रंदा “randa”), Turkisa (rende; rendelemek), Parsisa (رنده “rande""; رَندیدَن “randidan”), Swahilisa (randa)",,,
randevu,root,n/f.nenoj,TRUE,"appointment, engagement, date",,rendevuo,cita,,,,,,"Fransesa (rendez-vous), Englisa (rendezvous), Doycisa (Rendezvous), Niponsa (ランデブー “randebuu”), Turkisa (randevu), Parsisa (رانده وو ""rande vu"")",,,
ranko,root,n,TRUE,"rank, standing, place, position",,rango,"rango, posición",,,,,,"Doycisa (Rang), Englisa (rank), Espanisa (rango), Fransesa (rang), Rusisa (ранг “rang”), Pilipinasa (ranggo), Hindisa (रैंक “rank”), Telugusa (ర్యాంక్ “rank”), Niponsa (ランク “ranku”)",,,
rapu,root,n/f.oro.a,TRUE,rap (_music_),,repo,rap; rapear,,,,,,"Englisa (rap), Espanisa (rap), Fransesa (rap), Doycisa (Rap), Turkisa (rap), Indonesisa (rap), Vyetnamsa (rap), Pilipinasa (rap), Rusisa (рэп “rep”), Hindisa (रैप “rep”), Arabisa (راب “rab”), Niponsa (ラップ “rappu”), Korean (랩 “rep”), Parsisa (رپ “rap”), Swahilisa (kurap)",,,
rapuyen,derived,n,FALSE,rapper,,repisto,rapero,,,,,,rapu + -yen,,,
rasa,root,n,TRUE,race,,raso,raza,,,,,,"Englisa (race), Fransesa (race), Doycisa (Rasse), Rusisa (раса “rasa”), Espanisa (raza), Indonesisa (ras), Pilipinasa (rasismo - rasaismo)",,,
rasaismo,derived,n,FALSE,racism,,rasismo,racismo,,,,,,rasa + -ismo,,,
rasaista,derived,n,FALSE,racist,,rasisto,racista,,,,,,rasa + -ista,,,
rasali ,derived,t,FALSE,racial; racially,,rasa; rase,racial; racialmente,,,,,,rasa + -li,,,
rasamu,root,n/f.oro.a,TRUE,"drawing, illustration; draw, illustrate",,desegno; desegni,dibujo; dibujar,,,,,,"Arabisa (رسم “rasama”, يَرْسُمُ‎‎ “yarsumu”, رَسْم “rasm”), Parsisa (رسم کردن‎ “rasm kardan”), Turkisa (resim)",,,
rasona,root,n/f.oro.a,TRUE,reason (_logical thought_),,"racio, rezono; rezoni",razón (_pensamiento lógico_); razonar,,,,,,"Englisa (rational, reason), Doycisa (rational), Fransesa (rationnel, raison), Espanisa (racional, razón), Rusisa (рациональный “ratsionalniy”, разум “razum”), Indonesisa (rasional), Turkisa (rasyonel)",,,
rasonali,derived,t,FALSE,rational; rationally,,"racia, racionala; racie, racionale",racional,,,,,,rasona + -li,,,
rasonapul ,derived,t,FALSE,reasonable,,"racia, laŭrezona; racie, laŭrezone",razonable,,,,,,rasona + -pul,,,
rato,root,n,TRUE,rat,,rato,"rata, _Rodentia_",,,,,hewan,"Englisa (rat), Fransesa (rat), Espanisa (rata), Doycisa (Ratte), Portugalsa (rato), Italisa (rato), Niponsa (ラット “ratto”)",,,
raxwa,root,n/f.oj,TRUE,bribe,,subaĉeto; subaĉeti,soborno; sobornar,,,,,,"Hindisa (रिश्वत “rixvat”), Arabisa (رَشْوَة “raxwa”), Indonesisa (rasywah), Turkisa (rüşvet), Parsisa (رشوه “rexve”), Swahilisa (rushwa)",,,
rayfle,root,n,TRUE,rifle,,fusilo,"rifle, fusil",,,,,,"Englisa (rifle), Espanisa (rifle), Pilipinasa (riple), Putunhwa (来复枪 “layfucyang”), Niponsa (ライフル “rayfuru”), Hangusa (라이플 “raypul”)",,,
real,root,t,TRUE,"real, really",,reala; reale,real,,,,,,"Englisa (real), Fransesa (réel), Doycisa (reell), Rusisa (реальный “realniy”), Espanisa (real), Indonesisa (realitas), Turkisa (reel)",,,
realcu,derived,n/f.nenoj,FALSE,"realization; realize, become real",,realiĝo; realiĝi,volverse realidad,,,,,,real + -cu,,,
realgi,derived,n/f.oj,FALSE,"realization; realize, make real",,realigo; realigi,volver realidad,,,,,,real + -gi,,,
realgido,derived,t,FALSE,"realized, made real",,realigita; realigite,vuelto realidad,,,,,,real + -gi + -do,,,
realsim,derived,t,FALSE,realistic; realistically,,realeca; realece,realístico; realísticamente,,,,,,real + -sim,,,
realya,derived,n,FALSE,reality,,"realeco, realo",realidad,,,,,,real + -ya,,,
recitu,root,n,TRUE,receipt,,kvitanco,"recibo, comprobante de pago, acuse de recibo",,,,,,"Englisa (receipt), Espanisa (recibo), Portugalsa, Fransesa (reçu, récépissé), Italisa (ricevuta), Indonesisa (resi), Italisa (resibo), Hindisa (रसीद “rasid”), Telugusa (రసీదు “rasidu”), Parsisa (رسید “resid”), Swahilisa (resiti)",,,
referendum,root,n,TRUE,"referendum, plebiscite",,"referendumo, plebiscito","referéndum, referendo, plebiscito",,,,,politi,"Englisa (referendum), Espanisa (referéndum), Fransesa (référendum), Rusisa (референдум ""referendum""), Doycisa (Referendum), Indonesisa (referendum), Pilipinasa (reperendum), Telugusa (రెఫరెండం ""refarendam""), Turkisa (referandum), Parsisa (رفراندوم ""refrândom"")",,,
reforma,root,n/f.oj,TRUE,reformation; reform,,"reformo, reformacio; reformi","reforma, reformación; reformar",,,,,,"Englisa (reformation; reform), Espanisa (reforma; reformar), Fransesa (réforme; réformer), Rusisa (реформа ""reforma""; реформировать ""reformirovat""), Doycisa (Reform; reformieren), Pilipinasa (reporma), Hindisa (रिफ़ार्म ""rifarm""), Turkisa (reform), Parsisa (رفرم ""reform"")",,,
regula,root,n,TRUE,"rule, regulation, policy",,regulo,"regla, reglamento, política",,,,,,"Englisa (rule, regulation), Fransesa (règle), Doycisa (Regel), Espanisa (regla), Rusisa (регуляция “regulyatsiya”), Indonesisa (regulasi), Pilipinasa (reglamento)",,,
reguladoku,derived,n,FALSE,charter,,ĉarto,"acta constitutiva, estatuto",,,,,,regula + -doku,,,
regulapul,derived,t,FALSE,"regular, rulebound",,regula; regule,regular,,,,,,regula + -pul,,,
rehani,root,n,TRUE,basil,,bazilio,"albahaca, _Ocimum basilicum_",,,,,,"Arabisa (رَيْحَان “rayhan”), Turkisa (reyhan), Parsisa (ریحان “reyhân”), Swahilisa (mrehani)",,,
rehina,root,n,TRUE,hostage,,ostaĝo ,rehén,,,,,,"Arabisa (رَهِينَة ""rahina""), Espanisa (rehén), Turkisa (rehine)",,,
rekabu,root,n/f.oro.a,TRUE,"stirrup; ride, mount",,piedingo; rajdi,estribo,,,,,,"Indonesisa (rakap), Hindisa (रकाब ""rakāb""), Arabisa (رِكَاب ""rikāb"", رَكِبَ ""rakiba""), Telugusa (రికాబు ""rikabu""), Parsisa (رکاب ""rekâb""), Swahilisa (rikabu; -rakibu, -rekebu)",,,
reki,root,n/f.oro.a,TRUE,"rake, harrow",,"rastilo, erpilo; rasti, erpi","grada, rastra",,,,,,"Englisa (rake, raking), Doycisa (Rechen), Niponsa (レーキ ""rēki""), Swahilisa (reki)",,,
reklama,root,n/f.oro.a,TRUE,"ad, advertisement, commercial; advertise",,anonco; anonci,"anuncio, comercial; anunciar",,,,,,"Espanisa (reclamo), Rusisa (реклама “reklama”), Doycisa (Reklame), Nederisa (reclame), Turkisa (treklam), Indonesisa (reklame), Estisa (reklaam)",,,
reklamatahta,derived,n,FALSE,billboard,,reklampanelo,"cartelera, espectacular",,,,,,reklama + tahta,,,
rekomenda,root,n/f.oj,TRUE,recommendation; recommend,,rekomendo; rekomendi,recomendación; recomendar,,,,,,"Englisa (recommendation), Espanisa (recomendación), Fransesa (recommandation), Rusisa (рекомендация “rekomendatsiya”), Swerisa (rekommendation), Indonesisa (rekomendasi), Pilipinasa (rekomendasyon)",,,
rekordi,root,n,TRUE,(world) record,,rekordo,"récord, marca",,,,,,"Englisa (record), Espanisa (récord), Fransesa (record), Rusisa (рекорд ""rekord""), Doycisa (Record), Indonesisa (rekor), Pilipinasa (rekord), Turkisa (rekor), Parsisa (رِکُورد ""rekowrd""), Swahilisa (rekodi)",,,
relativo,root,t,TRUE,relative,,relativa; relative,relativo,,,,,,"Englisa (relative), Doycisa (relativ), Fransesa (relatif), Espanisa (relativo), Rusisa (релятивный “relyativniy”), Indonesisa (relatif), Pilipinasa (relatibo)",,,
relativomo,derived,m,FALSE,"relatively, quite, rather, fairly, pretty",,relative,"relativamente, bastante",,,,,,relativo + -mo,,,
remora,root,n,TRUE,"remora, suckerfish",,"remoro, eĥeneedo, suĉfiŝo","rémora, _Echeneidae_",,,,,hewan,"Englisa (remora), Indonesisa (remora), Pilipinasa (remora), Turkisa (remora), Espanisa (rémora), Fransesa (rémora), Hindisa (रेमोरा “remora”)",,,
ren,root,pn,TRUE,one,,oni,uno (_pronombre_),,,,,,Putunhwa (人 “rén”),,,
rengenyum,root,n,TRUE,roentgenium,,rentgenio,"roentgenio, Rg",,,,,kimikali monlari,"Englisa (roentgenium), Hindisa (रेन्टजेनियम “rentjeniyam”), Espanisa (roentgenio), Arabisa (رُونْتْجِينْيُوم “rontginyum”), Fransesa (roentgenium), Rusisa (рентгений “rentgeniy”), Indonesisa (roentgenium), Doycisa (Roentgenium, Röntgenium), Niponsa (レントゲニウム “rentogeniumu”), Telugusa (రోయెంట్‌జీనియం “royenjiniyam”), Turkisa (röntgenyum), Hangusa (뢴트게늄 “rwentugenyum”), Vyetnamsa (roengeni), Parsisa (رونتگنیوم “rontgeniyom”), Swahilisa (roentgeni), Pilipinasa (roentgenyo)",,,
rensu,derived,su s,FALSE,one’s,,onia,de uno,,,,,,ren + -su,,,
renyum,root,n,TRUE,rhenium,,renio,"renio, Re",,,,,kimikali monlari,"Englisa (rhenium), Espanisa (renio), Arabisa (رِنْيُوم “rinyum”), Fransesa (rhénium), Rusisa (рений “reniy”), Indonesisa (renium), Doycisa (Rhenium), Niponsa (レニウム “reniumu”), Telugusa (రీనియం “riniyam”), Turkisa (renyum), Hangusa (레늄 “renyum”), Vyetnamsa (rheni), Parsisa (رنیوم “renyom”), Swahilisa (reni), Pilipinasa (reniyo)",,,
reporti,root,n/f.oro.b,TRUE,report,,raporto; raporti,"informe, reporte; informar, reportar",,,,,,"Englisa (report), Fransesa, Doycisa (Report), Espanisa (reporte), Rusisa (рапорт “raport”), Hindisa (रिपोर्ट “riport”), Swahilisa (ripoti)",,,
reputasi,root,n,TRUE,reputation,,reputacio,reputación,,,,,,"Englisa (repute, reputation), Fransesa (réputation), Doycisa (Reputation), Rusisa (репутация “reputatsiya”), Espanisa (reputación), Indonesisa (reputasi), Pilipinasa (reputasyon), Turkisa (repütasyon)",,,
reserci,root,n/f.oro.a,TRUE,research,,esploro; esplori,investigación; investigar,,,,,,"Englisa (research), Fransesa (recherche), Niponsa (リサーチ “risaci”), Indonesisa (riset)",,,
reserva,root,n/f.oro.a,TRUE,"reservation, booking; reserve, book, make a reservation",,rezervo; rezervi,"reservación; reservar, hacer una reservación",,,,,,"Englisa (reservation, reserve), Espanisa (reserva, reservación, reservar), Fransesa (réservation, réserver), Rusisa (резервирование ""rezervirovaniye""; резервировать ""rezervirovat""), Pilipinasa (reserbasyon, reserba), Turkisa (rezervasyon), Parsisa (رزرواسیون ""rezervasiyon""), Swahilisa (rizavu, risavu)",,,
resini,root,n,TRUE,resin,,rezino,resina,,,,,,"Englisa (resin), Indonesisa, Espanisa (resina), Pilipinasa, Fransesa (résine), Turkisa (reçine), Parsisa (رزین “rezin”), Swahilisa (rezini)",,,
resmi,root,t,TRUE,"formal, formally, official, officially",,"formala, oficiala; formale, oficiale","formal, oficial",,,,,,"Arabisa (رسمي “rasmi”), Parsisa (رسمی “rasmi”), Indonesisa (resmi), Turkisa (resmî), Swahilisa (rasmi)",,,
